"","user_id","status_id","created_at","screen_name","text","source","day_created","location"
"1","1117522593152675840","1353555565893607426",2021-01-25 04:09:29,"duke773377","@UniversoDCnauta “The bigger they are, the harder they fall.”

This saying means the more powerful people are, the more they suffer when they experience defeat and disaster.","Twitter for iPhone","2021-01-25","N/A"
"2","738835309551554560","1353555513821306880",2021-01-25 04:09:16,"MlNECRAFTZA","and maybe the natural disaster is the red vines <U+0001F633>","Twitter for iPhone","2021-01-25","any pronouns <U+2605> 14"
"3","738835309551554560","1353555365376499712",2021-01-25 04:08:41,"MlNECRAFTZA","what if karl manages to ‘right some wrongs’, but instead of making present dsmp better, it makes it worse? he changes so much of the timeline, changes people’s fates, it causes a natural disaster or something to occur (similar the video game life is strange). #TALESFROMTHESMP","Twitter for iPhone","2021-01-25","any pronouns <U+2605> 14"
"4","769950552289599488","1353555487816441856",2021-01-25 04:09:10,"jayslimthiqtodd","10. None. All of those movies are such a disaster and make no sense. They changed so many details and origins of characters that were important to their stories and it made no sense and was honestly just weird at times.","Twitter for iPhone","2021-01-25","20 she/they bi white"
"5","30238286","1353555471379136518",2021-01-25 04:09:06,"my2twh","@GWillowWilson Life isn’t always a disaster. I think of it as hills and valleys. If life was a flat line we would get bored. We need challenges, we need joy, we do at times need to be sad.","Twitter for iPhone","2021-01-25","Michigan, USA"
"6","1576647432","1353555449895821313",2021-01-25 04:09:01,"OilerBry37","@mikedirsa @ABPokerInc @KkevrockK @CaffeineScene @donnym20071 @TheeHonestAndy @vwgreg1_greg @truthhurtshuh7 @jer_schur @tg_bennett @raye_shelley @pmnorm @Moe_Jaber @amyjones_03 @birju_shah @allsystemsjo @8Puravida8 @oilerslive @99FvrPodcast @Art4Oil @A_Firecracker @Bandlord1 @Artman101a Larsson is a disaster out there <U+0001F926><U+0001F3FC><U+200D><U+2642><U+FE0F>","Twitter for iPhone","2021-01-25","Sherwood Park"
"7","1205563955382509568","1353555230651248642",2021-01-25 04:08:09,"Sebasti85358417","@EqGImages A recipe to the disaster !!!","Twitter for Android","2021-01-25","Chile"
"8","1181222323619352578","1353555143359397889",2021-01-25 04:07:48,"jodel39646805","@ScottBaio Yes! We need grounded and moral conservatives to lead this country away from this disaster!  Please run!","Twitter for iPhone","2021-01-25","N/A"
"9","872874387703300096","1353555128293453829",2021-01-25 04:07:45,"wulfric95","@LizardGrump ""Shocking pictures taken moments before disaster strikes""","Twitter Web App","2021-01-25","Milwaukee, WI"
"10","142386580","1353555120986927104",2021-01-25 04:07:43,"SamAdlerBell","@unsponsoredgeek @thedrift_mag @Surgeon_General that's true! our most recent one was fired by Biden for doing exactly as little as Fauci to mitigate this disaster or stand up to Trump!","Twitter Web App","2021-01-25","Brooklyn, NY"
"11","943929490958356480","1353555095103959041",2021-01-25 04:07:37,"Richiesquest","@fi_6766 @POTUS Biden/Harris are a disaster for US/UK relations.
With the now confirmed demise of the US to China, this makes CANZUK more likely and desirable.","Twitter Web App","2021-01-25","N/A"
"12","126939230","1353555021179183105",2021-01-25 04:07:19,"KRZCow","Sadly, great scientist with bad political leadership still creates a human disaster. https://t.co/x92heWTE7Q","Twitter for Android","2021-01-25","Malaysia"
"13","1040738063033556992","1353555012195119104",2021-01-25 04:07:17,"ZombieRiolu","@Z_Any1 @Tr45hB1n Anyways ya I dunno on a zoroark tho, maybe a seconds before disaster","Twitter for Android","2021-01-25","Chicago, IL"
"14","910277491364913152","1353554977550172161",2021-01-25 04:07:09,"RolandNake","@GWillowWilson I think therapists -- if you find the right one -- can really help with that sort of thinking. Life is a disaster but it doesn't have to get us down! &lt;&lt;&lt; That's a joke. No. Really. It's a joke. It's really hard to be pleasant in so few characters. Dang Twitter.","Twitter Web App","2021-01-25","Michigan, USA"
"15","25216405","1353554972613337088",2021-01-25 04:07:07,"jobsts","@shambolicgirl @bruce_haigh There will be events in the future that could be considered ""the rapture"" with the final rupture the ""Climate disaster"".

We will loose out no matter what shape the Rupture takes.

#Scotty already thinks the Climate issues are a sign of the Rupture, hence why he is doing nothing","Twitter Web App","2021-01-25","Melbourne"
"16","1065630674168635393","1353554807273922560",2021-01-25 04:06:28,"BrainwaveCortex","At the beginning of every disaster movie there is always scientists warning of the danger and being ignored. 
""A Harvard scientist warned the coronavirus could be a ‘thermonuclear pandemic’ — but he was ignored""
https://t.co/GGroGG8Lgn https://t.co/Qp5poTo7eB","Twitter for Android","2021-01-25","Brisbane, Australia"
"17","308921014","1353554805164187649",2021-01-25 04:06:28,"spiritgateoz","@ricklevy67 Unsurprising. A very painful disaster for individuals who want to reproduce. But. Serves us right. That we are the agents of destruction for our own species. Our negative impact on other species &amp; biodiversity is more concerning to me.","Twitter Web App","2021-01-25","Australia"
"18","1335344958480519168","1353554781776842752",2021-01-25 04:06:22,"szaccharine","lyrics from remember you:
“and i need to save you,
but who’s going to save me?”

WHO IS GOING TO SAVE HIM??? HE WANTS TO PREVENT DISASTER HE WANTS TO STEER PEOPLE IN THE RIGHT DIRECTION BUT AT THE COST OF HIS MEMORY!! (i also associate this song w ghostbur/fundy but shhh)","Twitter for iPhone","2021-01-25","she/her"
"19","1228407090642857984","1353554766358605830",2021-01-25 04:06:18,"gonoles7682","@JohnRHornbuckle @mythtv_king @HenryWilliams74 @antpwn @aaronsibarium @amber_athey Obviously. That’s where America fucked up. We test anyone for any reason. When combined with poor PCR metrics, it’s a recipe for disaster.","Twitter for iPhone","2021-01-25","Florida, USA"
"20","982136372688404480","1353554756413788160",2021-01-25 04:06:16,"TroubledMindsR","@mikeboucher21 @ItsLulu_7 https://t.co/5gIFU08o1L

This is the type of stuff we need to be aware of. It's likely to be a whole batch of BS. Just recycled.","Twitter Web App","2021-01-25","Las Vegas, NV"
"21","1281857063321206784","1353554703850860544",2021-01-25 04:06:03,"MoeTwitcher","@cherylsinglet11 @DonaldJTrumpJr Of course that’s drivel, I bet he doesn’t get up early like Trump did and he hasn’t had to cope with a real disaster that’s started under his watch. The next four years are going to be like the tortoise and the hare. He’s there in office but doesn’t do much.","Twitter for iPhone","2021-01-25","London, England"
"22","114968505","1353554664202117120",2021-01-25 04:05:54,"BrainandMoney","Sell is MANTRA :::::::::::#NIFTYFUTURE #BANKNIFTY 

Big Big Negative NEWS for #FIIs and #FPIs coming on #Budgeday .................................disaster !!!!!","Twitter Web App","2021-01-25","Global"
"23","1245958020913225728","1353554594920423428",2021-01-25 04:05:37,"UZUMAKIWHORE","@whostolemypercs i think you should cease to exist. you offer nothing to society except being incredibly horny. i hope to never end up like you no matter how bad things are going for me. you are a complete and utter disaster. /j","Twitter for iPhone","2021-01-25","any prns | not spoiler free "
"24","18751117","1353554493846130689",2021-01-25 04:05:13,"liddocait","Got him back but it was an absolute fucking disaster.","Twitter for iPhone","2021-01-25","Seattle, WA"
"25","1145875842029015047","1353554343069409280",2021-01-25 04:04:37,"geekyfandoms1","@Cheezit2witter @isander195 Last image moments before disaster","Twitter Web App","2021-01-25","N/A"
"26","1119928626621943810","1353554287369089024",2021-01-25 04:04:24,"omigoditslucas","Randomly thought about how Jessica Simpson *supposedly* turned down Rachel McAdams' role in #TheNotebook. Thank god, because that would have been the Chernobyl of cinema, just a disaster. https://t.co/UzKEyzSal2","Twitter Web App","2021-01-25","<U+2708><U+FE0F>"
